2026-01-20 21:43:50 - INFO - [CHK_1B] ======================================================================
2026-01-20 21:43:50 - INFO - [CHK_1B] CHK_1B - Date Validity
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 678: Date mismatch for fund 1193135 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 679: Date mismatch for fund 1193135 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 680: Date mismatch for fund 1193135 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 681: Date mismatch for fund 1193135 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 682: Date mismatch for fund 1193135 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 683: Date mismatch for fund 1193135 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 684: Date mismatch for fund 1193135 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 685: Date mismatch for fund 1193135 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 686: Date mismatch for fund 1193317 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 687: Date mismatch for fund 1193317 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 688: Date mismatch for fund 1193317 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 689: Date mismatch for fund 1193317 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 690: Date mismatch for fund 1193317 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 691: Date mismatch for fund 1193317 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 692: Date mismatch for fund 1193317 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 693: Date mismatch for fund 1193317 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 694: Date mismatch for fund 1193317 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 695: Date mismatch for fund 1193317 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 696: Date mismatch for fund 1193317 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 697: Date mismatch for fund 1193317 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 698: Date mismatch for fund 1193317 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 699: Date mismatch for fund 1193317 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 700: Date mismatch for fund 1200195 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 701: Date mismatch for fund 1200195 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 702: Date mismatch for fund 1200195 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 703: Date mismatch for fund 1200195 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 704: Date mismatch for fund 1200195 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 705: Date mismatch for fund 1200195 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 706: Date mismatch for fund 1200195 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 707: Date mismatch for fund 1200195 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 708: Date mismatch for fund 1200195 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 709: Date mismatch for fund 1200195 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 710: Date mismatch for fund 1200195 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 711: Date mismatch for fund 1200351 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 712: Date mismatch for fund 1200351 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 713: Date mismatch for fund 1200351 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 714: Date mismatch for fund 1200351 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 715: Date mismatch for fund 1200351 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 716: Date mismatch for fund 1200351 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 717: Date mismatch for fund 1200351 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 718: Date mismatch for fund 1200351 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 719: Date mismatch for fund 1200351 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 720: Date mismatch for fund 1200351 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 721: Date mismatch for fund 1200351 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 722: Date mismatch for fund 1200351 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 736: Date mismatch for fund 1201623 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 737: Date mismatch for fund 1201623 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 738: Date mismatch for fund 1201623 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 739: Date mismatch for fund 1201623 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 740: Date mismatch for fund 1201623 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 752: Date mismatch for fund 1207901 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 753: Date mismatch for fund 1207901 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 754: Date mismatch for fund 1207901 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 755: Date mismatch for fund 1207901 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 756: Date mismatch for fund 1207901 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 757: Date mismatch for fund 1207901 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 758: Date mismatch for fund 1207901 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 759: Date mismatch for fund 1207901 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 760: Date mismatch for fund 1207901 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 761: Date mismatch for fund 1207901 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 762: Date mismatch for fund 1207901 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 763: Date mismatch for fund 1207901 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 764: Date mismatch for fund 1207901 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 765: Date mismatch for fund 1212794 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 766: Date mismatch for fund 1212794 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 767: Date mismatch for fund 1212794 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 768: Date mismatch for fund 1212794 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 769: Date mismatch for fund 1212794 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 770: Date mismatch for fund 1212794 - expected 2025-12, got 2025-11-30
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 771: Date mismatch for fund 1217561 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 772: Date mismatch for fund 1217561 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 773: Date mismatch for fund 1217561 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 774: Date mismatch for fund 1217561 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 775: Date mismatch for fund 1217561 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 776: Date mismatch for fund 1217561 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 777: Date mismatch for fund 1217561 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 778: Date mismatch for fund 1217561 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 779: Date mismatch for fund 1217561 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 780: Date mismatch for fund 1217561 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 781: Date mismatch for fund 1217561 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 782: Date mismatch for fund 1217561 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 783: Date mismatch for fund 1219294 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 784: Date mismatch for fund 1219294 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 785: Date mismatch for fund 1219294 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 786: Date mismatch for fund 1219294 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 787: Date mismatch for fund 1219294 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 788: Date mismatch for fund 1219294 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 789: Date mismatch for fund 1219294 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 790: Date mismatch for fund 1219294 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 791: Date mismatch for fund 1219294 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 792: Date mismatch for fund 1219294 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 793: Date mismatch for fund 1221670 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 794: Date mismatch for fund 1221670 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 795: Date mismatch for fund 1221670 - expected 2025-12, got 2025-11-26
2026-01-20 21:43:51 - WARNING - [CHK_1B] Row 796: Date mismatch for fund 1221670 - expected 2025-12, got 2025-11-26
